Date,Open,High,Low,Close,Adj Close,Volume
2018-08-06,27885.509766,28074.529297,27730.419922,27819.560547,27819.560547,1445836100
2018-08-07,27889.439453,28266.679688,27843.160156,28248.880859,28248.880859,1553852900
2018-08-08,28473.480469,28473.480469,28224.460938,28359.140625,28359.140625,1611650400
2018-08-09,28260.500000,28728.169922,28192.810547,28607.300781,28607.300781,1448212200
2018-08-10,28614.730469,28665.900391,28296.990234,28366.619141,28366.619141,1284477700
2018-08-13,27956.779297,28085.169922,27823.210938,27936.570313,27936.570313,1484354700
2018-08-14,27938.320313,27946.550781,27522.820313,27752.929688,27752.929688,1490419600
2018-08-15,27724.720703,27727.269531,27249.080078,27323.589844,27323.589844,1913746300
2018-08-16,26871.109375,27405.250000,26871.109375,27100.060547,27100.060547,2138210600
2018-08-17,27388.570313,27450.839844,27101.099609,27213.410156,27213.410156,1557764000
2018-08-20,27273.779297,27609.800781,27209.220703,27598.019531,27598.019531,1660834700
2018-08-21,27670.539063,27771.300781,27526.300781,27752.789063,27752.789063,1699480400
2018-08-22,27836.679688,27954.519531,27579.800781,27927.580078,27927.580078,1784465100
2018-08-23,28005.330078,28051.650391,27659.210938,27790.460938,27790.460938,1462580600
2018-08-24,27565.980469,27830.910156,27532.060547,27671.869141,27671.869141,1492245200
2018-08-27,28016.660156,28289.060547,27956.039063,28271.269531,28271.269531,2133548500
2018-08-28,28530.890625,28579.640625,28234.529297,28351.619141,28351.619141,1651324700
2018-08-29,28362.839844,28485.830078,28272.130859,28416.439453,28416.439453,1365810400
2018-08-30,28533.929688,28533.929688,28121.400391,28164.050781,28164.050781,1292190100
2018-08-31,27798.210938,27962.029297,27720.320313,27888.550781,27888.550781,1923264400
2018-09-03,27809.449219,27822.189453,27577.039063,27712.539063,27712.539063,1396877700
2018-09-04,27619.179688,27984.890625,27563.789063,27973.339844,27973.339844,1102334700
2018-09-05,27789.019531,27861.990234,27208.339844,27243.849609,27243.849609,1913637000
2018-09-06,27069.210938,27268.390625,26818.820313,26974.820313,26974.820313,2172071800
2018-09-07,26895.869141,27196.570313,26669.580078,26973.470703,26973.470703,2859939000
2018-09-10,26922.269531,26926.630859,26453.289063,26613.419922,26613.419922,2045973800
2018-09-11,26611.929688,26690.650391,26394.869141,26422.550781,26422.550781,1688227600
2018-09-12,26462.820313,26468.910156,26219.560547,26345.039063,26345.039063,2255883500
2018-09-13,26798.390625,27014.490234,26648.769531,27014.490234,27014.490234,2336699600
2018-09-14,27229.789063,27340.019531,27027.449219,27286.410156,27286.410156,1707220300
2018-09-17,27029.910156,27037.480469,26763.210938,26932.849609,26932.849609,1262149500
2018-09-18,26846.330078,27156.550781,26648.990234,27084.660156,27084.660156,1810262900
2018-09-19,27170.019531,27488.349609,27085.789063,27407.369141,27407.369141,1874196000
2018-09-20,27605.720703,27628.189453,27327.230469,27477.669922,27477.669922,1399791400
2018-09-21,27712.349609,27965.960938,27536.269531,27953.580078,27953.580078,2777208200
2018-09-24,27783.849609,27783.849609,27425.009766,27499.390625,27499.390625,1511079800
2018-09-26,27606.810547,28031.810547,27589.369141,27816.869141,27816.869141,2338781100
2018-09-27,27912.509766,27928.289063,27638.539063,27715.669922,27715.669922,1440548100
2018-09-28,27879.060547,27927.949219,27672.830078,27788.519531,27788.519531,1636511300
2018-10-02,27716.160156,27716.160156,27073.080078,27126.380859,27126.380859,2081279200
2018-10-03,26840.199219,27270.160156,26840.199219,27091.259766,27091.259766,1316749100
2018-10-04,27029.400391,27029.400391,26551.439453,26623.869141,26623.869141,1903259700
2018-10-05,26503.750000,26639.640625,26373.460938,26572.570313,26572.570313,1684117300
2018-10-08,26717.599609,26717.599609,26187.830078,26202.570313,26202.570313,2296488600
2018-10-09,26194.169922,26366.599609,26067.509766,26172.910156,26172.910156,1744919700
2018-10-10,26281.279297,26499.839844,26193.070313,26193.070313,26193.070313,1719141400
2018-10-11,25392.900391,25437.849609,25125.220703,25266.369141,25266.369141,3090446400
2018-10-12,25401.410156,25835.759766,25286.859375,25801.490234,25801.490234,2099313400
2018-10-15,25683.589844,25683.589844,25399.539063,25445.060547,25445.060547,1614888500
2018-10-16,25586.160156,25712.130859,25266.539063,25462.259766,25462.259766,1467251700
2018-10-18,25674.660156,25674.660156,25261.720703,25454.550781,25454.550781,1764725000
2018-10-19,25172.029297,25743.449219,25090.300781,25561.400391,25561.400391,2037871700
2018-10-22,25668.330078,26234.859375,25668.330078,26153.150391,26153.150391,2222812200
2018-10-23,26015.490234,26015.490234,25315.759766,25346.550781,25346.550781,1772912000
2018-10-24,25401.169922,25653.359375,25194.289063,25249.779297,25249.779297,1962753500
2018-10-25,24766.720703,24994.460938,24653.789063,24994.460938,24994.460938,2288634200
2018-10-26,25031.490234,25062.199219,24589.039063,24717.630859,24717.630859,1688395600
2018-10-29,24955.789063,24955.789063,24594.740234,24812.039063,24812.039063,2000985900
2018-10-30,24765.119141,24939.179688,24540.630859,24585.529297,24585.529297,2100387500
